Taxon,SLA,SLA units,SLAunits flag,LMA,LMA units,leaf area,wood density,maximum height,seed mass,seed volume,flowering duration,source,source notes
Morinda jasminoides,,,,,,6.92,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,7,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,7,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,7,,,,,,AUSTRAITS_dataset_68,
Hippocratea barbata,38.669,m2/kg,,,,7.138,,1.3,,,,AUSTRAITS_dataset_8,
Hippocratea barbata,,,,,,7.14,,,,,,AUSTRAITS_dataset_68,
Cayratia clematidea,,,,,,7.15,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,,,7.33,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,7.45,,,,,,Gallagher_field_workPHD,
Cupaniopsis anacardioides,9.287,m2/kg,,,,,,,,,,AUSTRAITS_dataset_52,
Smilax australis,,,,,,7.5,,,,,,AUSTRAITS_dataset_68,
Melaleuca quinquenervia,,,,,,7.508,,35,,,,AUSTRAITS_dataset_49,
Archirhodomyrtus beckleri,,,,,,7.67,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,7.7,,15,,,,AUSTRAITS_dataset_49,
Maclura cochinchinensis,,,,,,7.83,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,7.83,,,,,,Gallagher_field_workPHD,
Ailanthus triphysa,,,,,,7.875,,45,37.699,,,AUSTRAITS_dataset_49,
Rhodosphaera rhodanthema,,,,,,7.963,,27,62.832,,,AUSTRAITS_dataset_49,
Dioscorea transversa,,,,,,8.03,,,,,,AUSTRAITS_dataset_68,
Dioscorea transversa,44.244,m2/kg,,,,8.035,,0.2,,,,AUSTRAITS_dataset_8,
Lomandra longifolia,3.377,m2/kg,,,,8.158,,0.8,,,,AUSTRAITS_dataset_8,
Maclura cochinchinensis,,,,,,8.24,,,,,,Gallagher_field_workPHD,
Maclura cochinchinensis,,,,,,8.25,,,,,,AUSTRAITS_dataset_68,
Derris involuta,,,,,,8.313,,,125.664,,,AUSTRAITS_dataset_49,
Maclura cochinchinensis,,,,,,8.33,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.33,,,,,,Gallagher_field_workPHD,
Streblus brunonianus,,,,,,8.33,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.35,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.35,,,,,,Gallagher_field_workPHD,
Wikstroemia indica,,,,39.75,g/m2,8.36,0.58,2.5,,,,AUSTRAITS_dataset_39,
Syzygium luehmannii,,,,,,8.53,,,,,,Gallagher_field_workPHD,
Archirhodomyrtus beckleri,,,,,,8.64,,,,,,AUSTRAITS_dataset_68,
Archirhodomyrtus beckleri,13.155,m2/kg,,,,8.64,,8,,,,AUSTRAITS_dataset_8,
Smilax australis,9.55,m2/kg,,,,7.5,,0,29.809,,,AUSTRAITS_dataset_10,
Synoum glandulosum,10.855,m2/kg,,,,14.798,,3.8,,,,AUSTRAITS_dataset_13,
Maclura cochinchinensis,,,,,,8.66,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.66,,,,,,Gallagher_field_workPHD,
Backhousia myrtifolia,,,,,,8.663,688,35,,,,AUSTRAITS_dataset_49,
Myrsine variabilis,,,,,,8.67,,,,,,AUSTRAITS_dataset_68,
Syzygium australe,,,,,,8.74,,,,,,Gallagher_field_workPHD,
Aphananthe philippinensis,,,,,,8.75,593,35,,,,AUSTRAITS_dataset_49,
Cayratia clematidea,,,,,,8.75,,,6.283,,,AUSTRAITS_dataset_49,
Syzygium australe,,,,,,8.86,,,,,,Gallagher_field_workPHD,
Elaeocarpus obovatus,,,,,,8.9,,,,,,Gallagher_field_workPHD,
Jagera pseudorhus,,,,,,8.978,630,15,,,,AUSTRAITS_dataset_49,
Maclura cochinchinensis,,,,,,8.99,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,8.99,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,93.196,cm2/g,,,,,0.512,,,,,AUSTRAITS_dataset_20,
Clematis aristata,,,,,,9,,,,,,AUSTRAITS_dataset_68,
Clematis aristata,,,,,,9,,,,,,AUSTRAITS_dataset_68,
Clematis aristata,,,,,,9,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,9.04,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,25.831,m2/kg,,,,9.041,,0.3,,,,AUSTRAITS_dataset_8,
Endiandra sieberi,,,,,,9.1,645,30,,,,AUSTRAITS_dataset_49,
Syzygium oleosum,13.011,m2/kg,,,,9.139,,8,,,,AUSTRAITS_dataset_8,
Syzygium oleosum,,,,,,9.14,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.16,,,,,,Gallagher_field_workPHD,
Psychotria loniceroides,,,,88.87,g/m2,9.52,0.69,1,,,,AUSTRAITS_dataset_39,
Pittosporum undulatum,9.573,m2/kg,,,,19.67,,12,,,,AUSTRAITS_dataset_52,
Guioa semiglauca,,,,,,9.6,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,9.713,,,,,,AUSTRAITS_dataset_49,
Morinda jasminoides,,,,,,9.73,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,9.73,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,9.78,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,,,9.8,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,9.8,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,9.84,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,15.6,m2/kg,,,,9.843,,2,,,,AUSTRAITS_dataset_8,
Sloanea australis,9.686,m2/kg,,,,,,,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,,,,,,9.86,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,31.851,m2/kg,,,,9.861,,20,,,,AUSTRAITS_dataset_8,
Wilkiea huegeliana,9.84,m2/kg,,,,30,,4,169.46,,,AUSTRAITS_dataset_10,
Sarcopteryx stipata,,,,,,9.89,,,,,,Gallagher_field_workPHD,
Arytera distylis,,,,,,10,,,,,,AUSTRAITS_dataset_68,
Arytera distylis,,,,,,10,,,,,,AUSTRAITS_dataset_68,
Hodgkinsonia ovatiflora,,,,,,10,,,,,,AUSTRAITS_dataset_68,
Hodgkinsonia ovatiflora,,,,,,10,,,,,,AUSTRAITS_dataset_68,
Ochna serrulata,,,,,,10.05,,,,,,AUSTRAITS_dataset_68,
Alphitonia excelsa,9.897,m2/kg,,,,20.928,,20,,,,AUSTRAITS_dataset_52,
Ochna serrulata,19.181,m2/kg,,,,10.055,,3,,,,AUSTRAITS_dataset_8,
Morinda jasminoides,23.353,m2/kg,,,,10.065,,20,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,10.107,m2/kg,,,,19.004,,1.2,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,,,,,,10.07,,,,,,AUSTRAITS_dataset_68,
Psychotria loniceroides,10.156,m2/kg,,,,16.489,,1.2,,,,AUSTRAITS_dataset_52,
Embelia australiana,,,,,,10.08,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,10.08,,,,,,AUSTRAITS_dataset_68,
Embelia australiana,,,,,,10.08,,,,,,AUSTRAITS_dataset_68,
Lantana camara,,,,,,10.08,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,,,,,,10.08,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,,,,,,10.08,,,,,,AUSTRAITS_dataset_68,
Trophis scandens,,,,,,10.08,,,,,,AUSTRAITS_dataset_68,
Elattostachys xylocarpa,,,,,,10.083,,,,,,AUSTRAITS_dataset_68,
Pothos longipes,12.0000,m2/kg,x,,,,,,,,,AUSTRAITS_dataset_23,
Bridelia leichhardtii,,,,,,10.264,,15,,,,AUSTRAITS_dataset_49,
Eupomatia laurina,10.294,m2/kg,,,,34.281,,7,,,,AUSTRAITS_dataset_52,
Morinda jasminoides,23.637,m2/kg,,,,10.377,,,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,,,,,,10.456,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,10.431,m2/kg,,,,10.456,,5,,,,AUSTRAITS_dataset_8,
Synoum glandulosum,10.431,m2/kg,,,,10.456,,5,,,,AUSTRAITS_dataset_52,
Arytera distylis,,,,,,10.5,632.1,20,,,,AUSTRAITS_dataset_49,
Clematis aristata,,,,,,10.5,,,12.566,,,AUSTRAITS_dataset_49,
Diospyros pentamera,,,,,,10.5,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,10.5,,,,,,AUSTRAITS_dataset_68,
Diospyros pentamera,,,,,,10.5,,,,,,AUSTRAITS_dataset_68,
Hodgkinsonia ovatiflora,,,,,,10.5,825.6,35,,,,AUSTRAITS_dataset_49,
Melodinus australis,,,,,,10.5,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,10.5,,,,,,AUSTRAITS_dataset_68,
Melodinus australis,,,,,,10.5,,,,,,AUSTRAITS_dataset_68,
Pleurostylia opposita,,,,,,10.5,,15,,,,AUSTRAITS_dataset_49,
Synoum glandulosum,,,,,,10.5,,,,,,AUSTRAITS_dataset_68,
Synoum glandulosum,,,,,,10.5,,,,,,AUSTRAITS_dataset_68,
Archirhodomyrtus beckleri,,,,,,10.535,,10,,,,AUSTRAITS_dataset_49,
Elattostachys xylocarpa,,,,,,10.588,662.2,25,,,,AUSTRAITS_dataset_49,
Pittosporum undulatum,10.465,m2/kg,,,,,,,,,,AUSTRAITS_dataset_52,
Guioa semiglauca,,,,,,10.833,,,,,,AUSTRAITS_dataset_68,
Guioa semiglauca,,,,,,10.833,,,,,,AUSTRAITS_dataset_68,
Guioa semiglauca,,,,,,10.833,,,,,,AUSTRAITS_dataset_68,
Maclura cochinchinensis,,,,,,11.069,,,16.755,,,AUSTRAITS_dataset_49,
Maclura cochinchinensis,,,,,,11.1,,,,,,Gallagher_field_workPHD,
Morinda jasminoides,,,,,,11.13,,,,,,Gallagher_field_workPHD,
Synoum glandulosum,,,,,,11.21,,,,,,AUSTRAITS_dataset_68,
Lophostemon suaveolens,10.493,m2/kg,,,,,,,,,,AUSTRAITS_dataset_52,
Cryptocarya laevigata,,,,,,11.33,,,,,,AUSTRAITS_dataset_68,
Guioa semiglauca,10.72,m2/kg,,,,9.6,,1,27.223,,,AUSTRAITS_dataset_10,
Guioa semiglauca,,,,,,11.375,662.2,40,,,,AUSTRAITS_dataset_49,
Morinda jasminoides,,,,,,11.375,,,,,,AUSTRAITS_dataset_49,
Syzygium australe,,,,,,11.375,590,24,,,,AUSTRAITS_dataset_49,
Cissus hypoglauca,,,,,,11.438,,,,,,AUSTRAITS_dataset_68,
Cissus hypoglauca,,,,,,11.44,,,,,,Gallagher_field_workPHD,
Geitonoplesium cymosum,,,,,,11.51,,,,,,AUSTRAITS_dataset_68,
Geitonoplesium cymosum,,,,,,11.51,,,,,,Gallagher_field_workPHD,
Backhousia myrtifolia,,,,,,11.57,,,,,,AUSTRAITS_dataset_68,
Alchornea ilicifolia,,,,,,11.67,,,,,,AUSTRAITS_dataset_68,
Atractocarpus chartaceus,,,,,,11.67,,,,,,AUSTRAITS_dataset_68,
Morinda jasminoides,,,,,,11.67,,,,,,Gallagher_field_workPHD,
Guioa semiglauca,,,,,,11.77,,,,,,Gallagher_field_workPHD,
Acmena smithii,,,,,,11.91,,,,,,AUSTRAITS_dataset_68,
Cleistanthus cunninghamii,,,,,,12,,,,,,AUSTRAITS_dataset_68,
Cleistanthus cunninghamii,,,,,,12,,,,,,AUSTRAITS_dataset_68,
Aphananthe philippinensis,,,,,,12.01,,,,,,Gallagher_field_workPHD,
Atractocarpus chartaceus,,,,,,12.25,,4,,,,AUSTRAITS_dataset_49,
Syzygium oleosum,,,,,,12.25,790,12,,,,AUSTRAITS_dataset_49,
Cissus antarctica,,,,,,12.44,,,,,,Gallagher_field_workPHD,
Hippocratea barbata,,,,,,12.47,,,,,,AUSTRAITS_dataset_68,
Hippocratea barbata,,,,,,12.47,,,,,,AUSTRAITS_dataset_68,
Hippocratea barbata,,,,,,12.47,,,,,,Gallagher_field_workPHD,
Elaeocarpus obovatus,,,,,,12.5,,,,,,AUSTRAITS_dataset_68,
