,flowering.duration,leaf.area,maximum.height,seed.mass,SLA,wood.density
schoenoplectus validus,6,97.5,2,0.91,,
senna pendula,12,3.06,3,18.5,,
senna septemtrionalis,9,8.65375,3,20.604,,
sloanea australis,6,59.21316667,45,,15.36101734,0.509
sloanea woollsii,3,35.535,45,,,0.523733333
smilax australis,6,53.425125,4,35.2845,11.21656857,
solanum mauritianum,9,119.4375,4,1.07,20.12699687,0.449091629
stephania japonica,6,40.52418182,1,20.58866667,21.61541145,
sterculia quadrifida,3,91.17933333,25,,,0.322
streblus brunonianus,9,11.42981667,30,12,21.07134504,0.68125
synoum glandulosum,3,42.32160577,20,202.231066,12.37756036,0.527571429
syzygium australe,3,13.24733333,24,243.7709461,13.04866537,0.6115
syzygium floribundum,2,24.456,30,1455.381038,13.58,0.5897
syzygium luehmannii,3,6.321,35,21.10370999,13.91718481,0.645
syzygium oleosum,10,19.34944444,17,198.3208963,11.3613777,0.751443983
tabernaemontana pandacaqui,6,26.01833333,4,23.597,,
tecoma capensis,6,2.625,3,2.148,,
tecoma stans,6,8.3125,5,9,,0.462
toechima tenax,3,6.15,30,,,0.6622
toona ciliata,4,30.40175,45,2,14.93281493,0.397125
trema tomentosa,4,21.958,6,3.53,27.54353253,0.356552427
tristaniopsis laurina,2,14.2245,30,10.25641026,7.205137828,0.761540363
trophis scandens,12,24.6769,,80.55,10.49585169,0.658939167
wikstroemia indica,2,5.206666667,4,17,25.1572327,0.58
wilkiea huegeliana,3,38.0299375,13.5,131.15,9.9607304,0.62095
