"","metric","pval.linear","r2.linear","f statistic linear","pval.quad","r2.quad","f statistic quad"
"value37","M_MaxM.x",0.16065790278744,0.05112,2.047,0.157475269386811,0.09145,1.862
"value33","CVAnnBFI.x",0.157110938342619,0.051974,2.083,0.162475766857283,0.053264,1.041
"value71","production_natural_w",0.216123810953498,0.039972,1.582,0.21708614922885,0.062089,1.225
"value31","CVAnnLSMeanDur.x",0.222595310365669,0.038887,1.537,0.226596048419165,0.048407,0.9411
"value83","CVAnnLSNum.x",0.230475537724236,0.037614,1.485,0.232744672727894,0.054436,1.065
"value58","HSMeanDur.y",0.251725202432686,0.034421,1.355,0.238907594787919,0.11117,2.314
"value20","MDFMDFWet.x",0.267829741190411,0.032208,1.265,0.254063015583747,0.11216,2.337
"value47","seed.mass",0.309559007234359,0.027156,1.061,0.254557140079407,0.24983,6.161
"value65","BFI.y",0.261223079891145,0.033096,1.301,0.266686144361619,0.037163,0.714
"value26","CVAnnHSPeak.x",0.289675682892945,0.029451,1.153,0.268452422818388,0.13676,2.931
"value18","soil_snd",0.287791455391324,0.029678,1.162,0.280126199592253,0.085981,1.74
"value36","C_MaxM.x",0.322133595661158,0.025799,1.006,0.315210940308924,0.079207,1.591
"value7","clim_twrm",0.314794450042427,0.026582,1.038,0.317311596506858,0.042844,0.8281
"value32","BFI.x",0.342674447438837,0.023722,0.9233,0.334689010144299,0.081341,1.638
"value40","FDiv",0.343326968937394,0.023659,0.9208,0.33622558200368,0.077873,1.562
"value3","clim_psea",0.329811390625148,0.025003,0.9745,0.336297219342782,0.025191,0.4781
"value24","HSPeak.x",0.332138832049796,0.024766,0.965,0.336879844118276,0.032052,0.6126
"value79","FDis.SES",0.341996761856332,0.023788,0.926,0.340175725710503,0.057355,1.126
"value42","FEve",0.365532769957879,0.021595,0.8387,0.368286393345815,0.036838,0.7076
"value66","CVAnnBFI.y",0.37829871470699,0.020484,0.7947,0.375387856732438,0.058551,1.151
"value46","SLA",0.369530810803662,0.021242,0.8247,0.375435813869777,0.023535,0.4459
"value14","soil_nto",0.376680851260342,0.020622,0.8001,0.377893360590493,0.042097,0.813
"value69","C_MaxM.y",0.395783502529068,0.019044,0.7377,0.395536725779452,0.046455,0.9013
"value87","CVAnnLSNum.y",0.408389845435697,0.018059,0.6989,0.414256099127035,0.01998,0.3772
"value12","soil_des",0.421443481810279,0.017085,0.6605,0.427113581512642,0.019606,0.37
"value21","MDFMDFDry.x",0.446056384290368,0.015363,0.5929,0.448739668075883,0.03034,0.5788
"value86","MDFAnnLSNum.y",0.455123162722278,0.014765,0.5695,0.45811655940077,0.028295,0.5387
"value63","CVAnnLSPeak.y",0.456875372064162,0.014651,0.565,0.45910813312568,0.031472,0.6012
"value11","soil_der",0.471740470476862,0.013714,0.5284,0.476648922128858,0.018483,0.3484
"value38","regulation",0.478468506042218,0.013305,0.5124,0.483539800731977,0.017172,0.3232
"value60","CVAnnHSMeanDur.y",0.503493750416157,0.011863,0.4562,0.496029476672633,0.07147,1.424
"value22","CVMDFWet.x",0.540053865233693,0.0099608,0.3823,0.545378609631154,0.010591,0.198
"value67","C_MinM.y",0.571470032223191,0.0085023,0.3259,0.572305491211991,0.030828,0.5885
"value39","FDis",0.599564471375912,0.0073231,0.2803,0.604470773634099,0.0073288,0.1366
"value70","M_MaxM.y",0.656871291934284,0.0052483,0.2005,0.613298719649177,0.2525,6.249
"value62","LSMeanDur.y",0.661434033241994,0.0051008,0.1948,0.654240921865373,0.074327,1.485
"value76","replicate",0.657312516866257,0.0052339,0.1999,0.657312516866257,0.0052339,0.1999
"value57","HSPeak.y",0.659081966848003,0.0051765,0.1977,0.660299024000012,0.02433,0.4613
"value52","CV.y",0.683723793343892,0.0044155,0.1685,0.680452965843724,0.05193,1.013
"value73","intensive_w",0.693410247021033,0.0041355,0.1578,0.690217031674877,0.051728,1.009
"value49","flowering.duration",0.732107096046131,0.0031198,0.1189,0.735119200780651,0.0066234,0.1233
"value29","LSMeanDur.x",0.780645111407276,0.0020657,0.07866,0.776413552256851,0.066113,1.31
"value23","CVMDFDry.x",0.776823067964996,0.0021402,0.0815,0.779089497033039,0.0081748,0.1525
"value30","CVAnnLSPeak.x",0.838342429603584,0.0011092,0.0422,0.840061472332769,0.0064382,0.1199
"value10","soil_cly",0.853292654453386,0.00091137,0.03466,0.854730418370178,0.0079858,0.1489
"value56","CVMDFDry.y",0.876431045197674,0.0006445,0.02451,0.871251840951041,0.10463,2.162
"value82","MDFAnnLSNum.x",0.899260192199404,0.00042724,0.01624,0.90052198645625,0.002107,0.03906
"value53","MDFMDFWet.y",0.943373510489133,0.00013452,0.005112,0.943511209455822,0.022036,0.4168
"value59","CVAnnHSPeak.y",0.949916719195655,0.00010519,0.003998,0.950581728379134,0.00036015,0.006665
"value61","LSPeak.y",0.956893968123579,7.7899e-05,0.00296,0.954455739254709,0.12826,2.722
"value48","maximum.height",0.959981314378495,6.7131e-05,0.002551,0.959834934555766,0.033815,0.6475
"value74","conservation_w",0.961041441072538,6.3619e-05,0.002418,0.961037137960585,0.02694,0.5122
