"","Taxon","site","avgPerHa","totalcover","flowering.duration","leaf.area","maximum.height","seed.mass","SLA","wood.density","growthForm","source"
"6632","Senna.pendula",10,1,9458.41631221367,3.46410161513775,1.74928556845359,1.73205080756888,1.26717172840301,1.29694405276492,0.575537807233781,"shrub","exotic"
"6657","Senna.septemtrionalis",10,1,9458.41631221367,3,2.9417256840161,1.73205080756888,1.31395154120854,1.30896967781313,0.57582866087906,"shrub","exotic"
"6823","Solanum.mauritianum",10,0,9458.41631221367,3,10.9287464971972,2,0.0293837776852097,1.30377897905731,0.449091629,"tree","exotic"
"7296","Tecoma.capensis",10,1,9458.41631221367,2.44948974278318,1.62018517460197,1.73205080756888,0.332034277027518,1.32278383618378,0.506633891755376,"shrub","exotic"
"7332","Tecoma.stans",10,0,9458.41631221367,2.44948974278318,2.8831406486677,2.23606797749979,0.954242509439325,1.27648322138233,0.462,"tree","exotic"
"590","Aristolochia.elegans",11,0,16578.1871641543,2.44948974278318,5.00249937531231,1.73205080756888,0.323045735481701,1.34274861010053,0.404130457831263,"vine_h","exotic"
"1237","Cardiospermum.grandiflorum",11,0,16578.1871641543,2.44948974278318,2.96816441593117,3.16227766016838,1.54022933771828,1.37981536260424,0.50762062507353,"vine_h","exotic"
"1613","Celtis.sinensis",11,0,16578.1871641543,3.46410161513775,6.11649681871358,3.87298334620742,1.67614468035621,1.44053738355182,0.59,"tree","exotic"
"1650","Cinnamomum.camphora",11,0,16578.1871641543,2.44948974278318,3.33586570473093,4.47213595499958,1.96614173273903,1.21608076192616,0.460635,"tree","exotic"
"2329","Cyperus.involucratus",11,0,16578.1871641543,2.23606797749979,6.18465843842649,1.09544511501033,-1.25963731050576,0.866613541004892,0.628887160009622,"graminoid","exotic"
"2470","Desmodium.spp",11,1,16578.1871641543,2.44948974278318,3.83405790253616,1.22474487139159,0.589949601325708,1.41471973482959,0.43564595389098,"vine_h","exotic"
"3297","Eugenia.uniflora",11,0,16578.1871641543,2.64575131106459,3.02386342284171,2.82842712474619,2.41211095510998,1.03354621402668,0.7568,"shrub","exotic"
"4258","Lantana.camara",11,1,16578.1871641543,1.4142135623731,5.34735136929178,2,1.27876502960461,1.374915589516,0.590249741249414,"shrub","exotic"
"4318","Leucaena.leucocephala",11,0,16578.1871641543,1.73205080756888,0.460163014593742,2.82842712474619,1.68124123737559,0.890115445710269,0.76,"tree","exotic"
"4385","Ligustrum.lucidum",11,0,16578.1871641543,2.44948974278318,5.43006906033432,2.12132034355964,1.35780149050287,1.12095801244251,0.57942,"tree","exotic"
"4437","Ligustrum.sinense",11,0,16578.1871641543,2.23606797749979,1.92340843296477,1.73205080756888,1.22597228085552,0.987326443354537,0.612,"shrub","exotic"
"4728","Macfadyena.unguiscati",11,0,16578.1871641543,2,3.74165738677394,4.47213595499958,1.46239799789896,1.2070685815141,0.570259171282359,"vine_w","exotic"
"5452","Ochna.serrulata",11,1,16578.1871641543,2.44948974278318,2.60722074247656,1.73205080756888,1.92303666867079,1.30530120051976,0.535272523375735,"shrub","exotic"
"5643","Passiflora.edulis",11,0,16578.1871641543,2.23606797749979,11.4310979350192,2.23606797749979,1.12972210869588,1.33445375115093,0.484348919718412,"vine_h","exotic"
"6295","Ricinus.communis",11,0,16578.1871641543,1.73205080756888,NA,1.87082869338697,2.47070442972279,1.67311310423823,0.60295667435373,"shrub","exotic"
"6524","Schefflera.actinophylla",11,0,16578.1871641543,2.23606797749979,10.8383116766404,4.89897948556636,0.896473187788894,1.15010476610168,0.4065,"tree","exotic"
"6617","Senna.pendula",11,1,16578.1871641543,3.46410161513775,1.74928556845359,1.73205080756888,1.26717172840301,1.29694405276492,0.575537807233781,"shrub","exotic"
"6662","Senna.septemtrionalis",11,1,16578.1871641543,3,2.9417256840161,1.73205080756888,1.31395154120854,1.30896967781313,0.57582866087906,"shrub","exotic"
"6843","Solanum.mauritianum",11,0,16578.1871641543,3,10.9287464971972,2,0.0293837776852097,1.30377897905731,0.449091629,"tree","exotic"
"7302","Tecoma.capensis",11,0,16578.1871641543,2.44948974278318,1.62018517460197,1.73205080756888,0.332034277027518,1.32278383618378,0.506633891755376,"shrub","exotic"
"7340","Tecoma.stans",11,1,16578.1871641543,2.44948974278318,2.8831406486677,2.23606797749979,0.954242509439325,1.27648322138233,0.462,"tree","exotic"
"597","Aristolochia.elegans",12,0,12504.5286120312,2.44948974278318,5.00249937531231,1.73205080756888,0.323045735481701,1.34274861010053,0.404130457831263,"vine_h","exotic"
"1270","Cardiospermum.grandiflorum",12,0,12504.5286120312,2.44948974278318,2.96816441593117,3.16227766016838,1.54022933771828,1.37981536260424,0.50762062507353,"vine_h","exotic"
"1627","Celtis.sinensis",12,0,12504.5286120312,3.46410161513775,6.11649681871358,3.87298334620742,1.67614468035621,1.44053738355182,0.59,"tree","exotic"
"1663","Cinnamomum.camphora",12,1,12504.5286120312,2.44948974278318,3.33586570473093,4.47213595499958,1.96614173273903,1.21608076192616,0.460635,"tree","exotic"
"2327","Cyperus.involucratus",12,0,12504.5286120312,2.23606797749979,6.18465843842649,1.09544511501033,-1.25963731050576,0.866613541004892,0.628887160009622,"graminoid","exotic"
"2499","Desmodium.spp",12,0,12504.5286120312,2.44948974278318,3.83405790253616,1.22474487139159,0.589949601325708,1.41471973482959,0.43564595389098,"vine_h","exotic"
"3281","Eugenia.uniflora",12,0,12504.5286120312,2.64575131106459,3.02386342284171,2.82842712474619,2.41211095510998,1.03354621402668,0.7568,"shrub","exotic"
"4228","Lantana.camara",12,1,12504.5286120312,1.4142135623731,5.34735136929178,2,1.27876502960461,1.374915589516,0.590249741249414,"shrub","exotic"
"4328","Leucaena.leucocephala",12,0,12504.5286120312,1.73205080756888,0.460163014593742,2.82842712474619,1.68124123737559,0.890115445710269,0.76,"tree","exotic"
"4373","Ligustrum.lucidum",12,1,12504.5286120312,2.44948974278318,5.43006906033432,2.12132034355964,1.35780149050287,1.12095801244251,0.57942,"tree","exotic"
"4429","Ligustrum.sinense",12,1,12504.5286120312,2.23606797749979,1.92340843296477,1.73205080756888,1.22597228085552,0.987326443354537,0.612,"shrub","exotic"
"4713","Macfadyena.unguiscati",12,0,12504.5286120312,2,3.74165738677394,4.47213595499958,1.46239799789896,1.2070685815141,0.570259171282359,"vine_w","exotic"
"5443","Ochna.serrulata",12,1,12504.5286120312,2.44948974278318,2.60722074247656,1.73205080756888,1.92303666867079,1.30530120051976,0.535272523375735,"shrub","exotic"
"5649","Passiflora.edulis",12,0,12504.5286120312,2.23606797749979,11.4310979350192,2.23606797749979,1.12972210869588,1.33445375115093,0.484348919718412,"vine_h","exotic"
"6296","Ricinus.communis",12,0,12504.5286120312,1.73205080756888,NA,1.87082869338697,2.47070442972279,1.67311310423823,0.60295667435373,"shrub","exotic"
"6522","Schefflera.actinophylla",12,0,12504.5286120312,2.23606797749979,10.8383116766404,4.89897948556636,0.896473187788894,1.15010476610168,0.4065,"tree","exotic"
"6636","Senna.pendula",12,0,12504.5286120312,3.46410161513775,1.74928556845359,1.73205080756888,1.26717172840301,1.29694405276492,0.575537807233781,"shrub","exotic"
"6661","Senna.septemtrionalis",12,0,12504.5286120312,3,2.9417256840161,1.73205080756888,1.31395154120854,1.30896967781313,0.57582866087906,"shrub","exotic"
"6845","Solanum.mauritianum",12,1,12504.5286120312,3,10.9287464971972,2,0.0293837776852097,1.30377897905731,0.449091629,"tree","exotic"
"7270","Tecoma.capensis",12,0,12504.5286120312,2.44948974278318,1.62018517460197,1.73205080756888,0.332034277027518,1.32278383618378,0.506633891755376,"shrub","exotic"
"7312","Tecoma.stans",12,0,12504.5286120312,2.44948974278318,2.8831406486677,2.23606797749979,0.954242509439325,1.27648322138233,0.462,"tree","exotic"
"608","Aristolochia.elegans",13,0,42274.6037008932,2.44948974278318,5.00249937531231,1.73205080756888,0.323045735481701,1.34274861010053,0.404130457831263,"vine_h","exotic"
"1273","Cardiospermum.grandiflorum",13,0,42274.6037008932,2.44948974278318,2.96816441593117,3.16227766016838,1.54022933771828,1.37981536260424,0.50762062507353,"vine_h","exotic"
"1605","Celtis.sinensis",13,0,42274.6037008932,3.46410161513775,6.11649681871358,3.87298334620742,1.67614468035621,1.44053738355182,0.59,"tree","exotic"
"1646","Cinnamomum.camphora",13,1,42274.6037008932,2.44948974278318,3.33586570473093,4.47213595499958,1.96614173273903,1.21608076192616,0.460635,"tree","exotic"
"2322","Cyperus.involucratus",13,0,42274.6037008932,2.23606797749979,6.18465843842649,1.09544511501033,-1.25963731050576,0.866613541004892,0.628887160009622,"graminoid","exotic"
"2465","Desmodium.spp",13,1,42274.6037008932,2.44948974278318,3.83405790253616,1.22474487139159,0.589949601325708,1.41471973482959,0.43564595389098,"vine_h","exotic"
"3257","Eugenia.uniflora",13,0,42274.6037008932,2.64575131106459,3.02386342284171,2.82842712474619,2.41211095510998,1.03354621402668,0.7568,"shrub","exotic"
"4261","Lantana.camara",13,1,42274.6037008932,1.4142135623731,5.34735136929178,2,1.27876502960461,1.374915589516,0.590249741249414,"shrub","exotic"
"4334","Leucaena.leucocephala",13,0,42274.6037008932,1.73205080756888,0.460163014593742,2.82842712474619,1.68124123737559,0.890115445710269,0.76,"tree","exotic"
"4381","Ligustrum.lucidum",13,1,42274.6037008932,2.44948974278318,5.43006906033432,2.12132034355964,1.35780149050287,1.12095801244251,0.57942,"tree","exotic"
"4416","Ligustrum.sinense",13,1,42274.6037008932,2.23606797749979,1.92340843296477,1.73205080756888,1.22597228085552,0.987326443354537,0.612,"shrub","exotic"
"4743","Macfadyena.unguiscati",13,0,42274.6037008932,2,3.74165738677394,4.47213595499958,1.46239799789896,1.2070685815141,0.570259171282359,"vine_w","exotic"
"5451","Ochna.serrulata",13,1,42274.6037008932,2.44948974278318,2.60722074247656,1.73205080756888,1.92303666867079,1.30530120051976,0.535272523375735,"shrub","exotic"
