"","Taxon","flowering.duration","source"
"1721","Melodorum leichhardtii",5,"http://sgaptownsville.org.au/Melodorum-leichhardtii.html"
"1728","Micromelum minutum",12,"AUSTRAITS_dataset_56"
"1807","Morinda jasminoides",7,"NSW flora online "
"1826","Myrsine variabilis",5,"PlantNET"
"1854","Neolitsea dealbata",3,"Stanley & Ross (1983). Flora of south-eastern QLD. QLD Department of Primary Industries, Brisbane"
"1886","Notelaea longifolia",7,"NSW flora online "
"1898","Notelaea microcarpa",7,"NSW flora online "
"1910","Ochna serrulata",6,"http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&ibra=all&card=S04"
"1921","Olea paniculata",3,"NSW flora online "
"1963","Pandorea pandorana",7,"NSW flora online "
"1977","Pararchidendron pruinosum",4,"NSW flora online "
"2019","Parsonsia straminea",5,"AUSTRAITS_dataset_24, NSW flora online"
"2029","Passiflora edulis",5,"http://www.hort.purdue.edu/newcrop/morton/passionfruit.html"
"2032","Passiflora suberosa",8,"http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&card=V18"
"2036","Passiflora subpeltata",6,"http://weeds.brisbane.qld.gov.au/weeds/white-passionflower"
"2041","Pavetta australiensis",3,"NSW flora online "
"2045","Phyllanthus microcladus",3,"NSW flora online "
"2059","Pittosporum multiflorum",6,"NSW flora online "
"2105","Pittosporum undulatum",4,"AUSTRAITS_dataset_24, NSW flora online"
"2111","Planchonella australis",4,"FLOYD AG"
"2138","Polyscias elegans",5,"NSW flora online "
"2147","Pothos longipes",2,"NSW flora online "
"2159","Pseudoweinmannia lachnocarpa",3,"NSW flora online "
"2163","Psychotria daphnoides",3,"NSW flora online "
"2190","Psychotria loniceroides",3,"NSW flora online "
"2216","Rhodamnia argentea",4,"NSW flora online "
"2228","Rhodamnia rubescens",4,"NSW flora online "
"2240","Rhodomyrtus psidioides",2,"NSW flora online "
"2248","Rhodosphaera rhodanthema",3,"NSW flora online "
"2251","Ricinus communis",3,"http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&card=S05"
"2264","Rubus moluccanus",6,"Stanley & Ross (1983). Flora of south-eastern QLD. QLD Department of Primary Industries, Brisbane"
"2284","Rubus rosifolius",12,"AUSTRAITS_dataset_24"
"2295","Sarcopteryx stipata",4,"FLOYD AG"
"2307","Schefflera actinophylla",5,"AUSTRAITS_dataset_56"
"2310","Senna septemtrionalis",9,"NSW Flora Online"
"2328","Sloanea australis",6,"NSW flora online "
"2336","Sloanea woollsii",3,"NSW flora online "
"2385","Smilax australis",6,"PlantNET"
"2394","Solanum mauritianum",9,"NSW flora online "
"2400","Solanum seaforthianum",9,"NSW flora online "
"2432","Stephania japonica",6,"PlantNET"
"2443","Sterculia quadrifida",3,"NSW flora online "
"2454","Streblus brunonianus",9,"FLOYD AG"
"2512","Synoum glandulosum",3,"AUSTRAITS_dataset_24"
"2531","Syzygium australe",3,"NSW flora online "
"2533","Syzygium floribundum",2,"FLOYD AG"
"2556","Syzygium luehmannii",3,"NSW flora online "
"2578","Syzygium oleosum",10,"PlantNET"
"2589","Tabernaemontana pandacaqui",6,"NSW flora online "
"2593","Tecoma capensis",6,"NSW flora online "
"2598","Tecoma stans",6,"NSW flora online "
"2606","Toechima tenax",3,"FLOYD AG"
"2620","Toona ciliata",4,"https://www.rbgsyd.nsw.gov.au/welcome/royal_botanic_garden/gardens_and_domain/Plant_of_the_Month/Toona_ciliata"
"2635","Trema tomentosa",4,"Robinson, L. (2003), Field Guide to the native plants of Sydney. Kangaroo Press, Pymble."
"2649","Tristaniopsis laurina",2,"AUSTRAITS_dataset_24"
"2676","Trophis scandens",12,"NSW flora online "
"2680","Turraea pubescens",3,"NSW flora online "
"2688","Wikstroemia indica",2,"AUSTRAITS_dataset_24"
"2726","Wilkiea huegeliana",3,"AUSTRAITS_dataset_24"
"2733","Wilkiea macrophylla",3,"NSW flora online "
"2736","Macfadyena unguiscati",4,"http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&state=&s=&ibra=all&card=V05"
"2741","Cardiospermum grandiflorum",6,"NSW flora online"
"2744","Schoenoplectus validus",6,"NSW flora online"
"2745","Senna pendula",12,"NSW flora online"
"2775","Lomandra sp",5,"AUSTRAITS_dataset_24"
"2786","Carex spp",4,"NSW flora online "
"2789","Cyperus spp",5,"http://weeds.brisbane.qld.gov.au/weeds/umbrella-sedge"
"2798","Melaleuca spp",3,"NSW flora online "
"2799","Ripogonum spp",5,"NSW flora online"
"2804","Lomandra hystrix",6,"NSW flora online, leaf area calculated as mean leaf length * mean leaf width"
"2807","Archontophoenix spp",3,"NSW flora online, leaf area calculated as mean leaf length * mean leaf width"
"2809","Desmodium spp",6,"NSW flora online"
