"","Taxon","site","countSum"
"267","Alphitonia.excelsa","3",0
"268","Alphitonia.excelsa","4",0
"269","Alphitonia.excelsa","5",0
"270","Alphitonia.excelsa","6",0
"271","Alphitonia.excelsa","7",0
"272","Alphitonia.excelsa","8",0
"273","Alphitonia.excelsa","9",0
"274","Alphitonia.excelsa","10",0
"275","Alphitonia.excelsa","11",0
"276","Alphitonia.excelsa","12",0
"277","Alphitonia.excelsa","13",0
"278","Alphitonia.excelsa","14",0
"279","Alphitonia.excelsa","15",6
"280","Alphitonia.excelsa","16",0
"281","Alphitonia.excelsa","17",0
"282","Alphitonia.excelsa","18",2
"283","Alphitonia.excelsa","19",0
"284","Alphitonia.excelsa","20",0
"285","Alphitonia.excelsa","21",0
"286","Alphitonia.excelsa","22",0
"287","Alphitonia.excelsa","23",0
"288","Alphitonia.excelsa","24",0
"289","Alphitonia.excelsa","25",0
"290","Alphitonia.excelsa","26",0
"291","Alphitonia.excelsa","27",0
"292","Alphitonia.excelsa","28",0
"293","Alphitonia.excelsa","29",0
"294","Alphitonia.excelsa","30",0
"295","Alphitonia.excelsa","31",0
"296","Alphitonia.excelsa","32",0
"297","Alphitonia.excelsa","33",0
"298","Alphitonia.excelsa","34",0
"299","Alphitonia.excelsa","35",0
"300","Alphitonia.excelsa","36",0
"301","Alphitonia.excelsa","37",0
"302","Alphitonia.excelsa","38",0
"303","Alphitonia.excelsa","39",0
"304","Alphitonia.excelsa","40",31
"305","Alphitonia.excelsa","41",0
"306","Alphitonia.excelsa","42",0
"307","Alphitonia.excelsa","43",2
"308","Alphitonia.excelsa","44",0
"309","Alpinia.spp","1",0
"310","Alpinia.spp","2",0
"311","Alpinia.spp","3",0
"312","Alpinia.spp","4",0
"313","Alpinia.spp","5",0
"314","Alpinia.spp","6",0
"315","Alpinia.spp","7",0
"316","Alpinia.spp","8",0
"317","Alpinia.spp","9",0
"318","Alpinia.spp","10",0
"319","Alpinia.spp","11",45
"320","Alpinia.spp","12",0
"321","Alpinia.spp","13",0
"322","Alpinia.spp","14",0
"323","Alpinia.spp","15",0
"324","Alpinia.spp","16",0
"325","Alpinia.spp","17",0
"326","Alpinia.spp","18",0
"327","Alpinia.spp","19",50
"328","Alpinia.spp","20",0
"329","Alpinia.spp","21",0
"330","Alpinia.spp","22",0
"331","Alpinia.spp","23",0
"332","Alpinia.spp","24",0
"333","Alpinia.spp","25",0
"334","Alpinia.spp","26",0
"335","Alpinia.spp","27",0
"336","Alpinia.spp","28",0
"337","Alpinia.spp","29",3
"338","Alpinia.spp","30",7
"339","Alpinia.spp","31",0
"340","Alpinia.spp","32",0
"341","Alpinia.spp","33",0
"342","Alpinia.spp","34",0
"343","Alpinia.spp","35",0
"344","Alpinia.spp","36",0
"345","Alpinia.spp","37",0
"346","Alpinia.spp","38",0
"347","Alpinia.spp","39",0
"348","Alpinia.spp","40",0
"349","Alpinia.spp","41",0
"350","Alpinia.spp","42",0
"351","Alpinia.spp","43",0
"352","Alpinia.spp","44",0
"353","Andredera.cordifoli","1",0
"354","Andredera.cordifoli","2",0
"355","Andredera.cordifoli","3",0
"356","Andredera.cordifoli","4",0
"357","Andredera.cordifoli","5",0
"358","Andredera.cordifoli","6",0
"359","Andredera.cordifoli","7",0
"360","Andredera.cordifoli","8",0
"361","Andredera.cordifoli","9",1
"362","Andredera.cordifoli","10",0
"363","Andredera.cordifoli","11",0
"364","Andredera.cordifoli","12",17
"365","Andredera.cordifoli","13",18
"366","Andredera.cordifoli","14",0
"367","Andredera.cordifoli","15",0
"368","Andredera.cordifoli","16",0
"369","Andredera.cordifoli","17",0
"370","Andredera.cordifoli","18",0
"371","Andredera.cordifoli","19",0
"372","Andredera.cordifoli","20",0
"373","Andredera.cordifoli","21",0
"374","Andredera.cordifoli","22",0
"375","Andredera.cordifoli","23",0
"376","Andredera.cordifoli","24",77
"377","Andredera.cordifoli","25",0
"378","Andredera.cordifoli","26",0
"379","Andredera.cordifoli","27",0
"380","Andredera.cordifoli","28",0
"381","Andredera.cordifoli","29",0
"382","Andredera.cordifoli","30",0
"383","Andredera.cordifoli","31",0
"384","Andredera.cordifoli","32",0
"385","Andredera.cordifoli","33",0
"386","Andredera.cordifoli","34",0
"387","Andredera.cordifoli","35",0
"388","Andredera.cordifoli","36",0
"389","Andredera.cordifoli","37",0
"390","Andredera.cordifoli","38",0
"391","Andredera.cordifoli","39",0
"392","Andredera.cordifoli","40",0
"393","Andredera.cordifoli","41",0
"394","Andredera.cordifoli","42",0
"395","Andredera.cordifoli","43",0
"396","Andredera.cordifoli","44",0
"397","Aphananthe.philippinensis","1",13
"398","Aphananthe.philippinensis","2",1
"399","Aphananthe.philippinensis","3",13
"400","Aphananthe.philippinensis","4",17
"401","Aphananthe.philippinensis","5",0
"402","Aphananthe.philippinensis","6",8
"403","Aphananthe.philippinensis","7",0
"404","Aphananthe.philippinensis","8",1
"405","Aphananthe.philippinensis","9",3
"406","Aphananthe.philippinensis","10",14
"407","Aphananthe.philippinensis","11",5
"408","Aphananthe.philippinensis","12",12
"409","Aphananthe.philippinensis","13",4
"410","Aphananthe.philippinensis","14",11
"411","Aphananthe.philippinensis","15",0
"412","Aphananthe.philippinensis","16",0
"413","Aphananthe.philippinensis","17",15
"414","Aphananthe.philippinensis","18",0
"415","Aphananthe.philippinensis","19",0
"416","Aphananthe.philippinensis","20",20
"417","Aphananthe.philippinensis","21",0
"418","Aphananthe.philippinensis","22",7
"419","Aphananthe.philippinensis","23",18
"420","Aphananthe.philippinensis","24",1
"421","Aphananthe.philippinensis","25",7
"422","Aphananthe.philippinensis","26",19
"423","Aphananthe.philippinensis","27",0
"424","Aphananthe.philippinensis","28",0
"425","Aphananthe.philippinensis","29",0
"426","Aphananthe.philippinensis","30",1
"427","Aphananthe.philippinensis","31",7
"428","Aphananthe.philippinensis","32",0
"429","Aphananthe.philippinensis","33",81
"430","Aphananthe.philippinensis","34",85
"431","Aphananthe.philippinensis","35",17
"432","Aphananthe.philippinensis","36",0
"433","Aphananthe.philippinensis","37",26
"434","Aphananthe.philippinensis","38",4
"435","Aphananthe.philippinensis","39",1
"436","Aphananthe.philippinensis","40",0
"437","Aphananthe.philippinensis","41",0
"438","Aphananthe.philippinensis","42",2
"439","Aphananthe.philippinensis","43",10
"440","Aphananthe.philippinensis","44",3
"441","Archirhodomyrtus.beckleri","1",0
"442","Archirhodomyrtus.beckleri","2",0
"443","Archirhodomyrtus.beckleri","3",0
"444","Archirhodomyrtus.beckleri","4",0
"445","Archirhodomyrtus.beckleri","5",0
"446","Archirhodomyrtus.beckleri","6",0
"447","Archirhodomyrtus.beckleri","7",0
"448","Archirhodomyrtus.beckleri","8",0
"449","Archirhodomyrtus.beckleri","9",0
"450","Archirhodomyrtus.beckleri","10",0
"451","Archirhodomyrtus.beckleri","11",0
"452","Archirhodomyrtus.beckleri","12",0
"453","Archirhodomyrtus.beckleri","13",0
"454","Archirhodomyrtus.beckleri","14",0
"455","Archirhodomyrtus.beckleri","15",0
"456","Archirhodomyrtus.beckleri","16",0
"457","Archirhodomyrtus.beckleri","17",0
"458","Archirhodomyrtus.beckleri","18",0
"459","Archirhodomyrtus.beckleri","19",0
"460","Archirhodomyrtus.beckleri","20",0
"461","Archirhodomyrtus.beckleri","21",0
"462","Archirhodomyrtus.beckleri","22",0
"463","Archirhodomyrtus.beckleri","23",0
"464","Archirhodomyrtus.beckleri","24",0
"465","Archirhodomyrtus.beckleri","25",0
"466","Archirhodomyrtus.beckleri","26",0
"467","Archirhodomyrtus.beckleri","27",0
"468","Archirhodomyrtus.beckleri","28",0
"469","Archirhodomyrtus.beckleri","29",53
"470","Archirhodomyrtus.beckleri","30",2
"471","Archirhodomyrtus.beckleri","31",0
"472","Archirhodomyrtus.beckleri","32",0
"473","Archirhodomyrtus.beckleri","33",0
"474","Archirhodomyrtus.beckleri","34",0
"475","Archirhodomyrtus.beckleri","35",0
