"","Taxon","seed.mass","source"
"1895","Notelaea microcarpa",43.522,"AUSTRAITS_dataset_53"
"1896","Notelaea microcarpa",43.52,"Kew SID, as N. microcarpa var. microcarpa"
"1901","Ochna serrulata",83.76,"AUSTRAITS_dataset_10"
"1915","Olea paniculata",67,"AUSTRAITS_dataset_52"
"1919","Olea paniculata",98,"AUSTRAITS_dataset_53"
"1946","Pandorea pandorana",5.027,"AUSTRAITS_dataset_49"
"1947","Pandorea pandorana",5.215,"AUSTRAITS_dataset_10"
"1957","Pandorea pandorana",3.8,"AUSTRAITS_dataset_53"
"1961","Pandorea pandorana",1.89575,"Moles 2004 Seed database"
"1970","Pararchidendron pruinosum",56,"AUSTRAITS_dataset_52"
"1985","Parsonsia straminea",10.344,"AUSTRAITS_dataset_10"
"2010","Parsonsia straminea",7.8,"AUSTRAITS_dataset_52"
"2014","Parsonsia straminea",8.4,"AUSTRAITS_dataset_53"
"2022","Passiflora edulis",11.502,"AUSTRAITS_dataset_10"
"2025","Passiflora edulis",15.46,"AUSTRAITS_dataset_53"
"2030","Passiflora suberosa",2.962,"AUSTRAITS_dataset_53"
"2031","Passiflora suberosa",3.99,"AUSTRAITS_dataset_6"
"2033","Passiflora subpeltata",88,"AUSTRAITS_dataset_52"
"2034","Passiflora subpeltata",50,"AUSTRAITS_dataset_53"
"2038","Pavetta australiensis",219,"AUSTRAITS_dataset_52"
"2050","Pilidiostigma rhytispermum",51.5,"AUSTRAITS_dataset_53"
"2058","Pittosporum multiflorum",11.071,"AUSTRAITS_dataset_53"
"2068","Pittosporum undulatum",5.893,"AUSTRAITS_dataset_10"
"2102","Pittosporum undulatum",8.35,"AUSTRAITS_dataset_53"
"2108","Planchonella australis",251.327,"AUSTRAITS_dataset_49"
"2110","Planchonella australis",957.688,"AUSTRAITS_dataset_53"
"2128","Polyscias elegans",8.7,"AUSTRAITS_dataset_52"
"2136","Polyscias elegans",6.6,"AUSTRAITS_dataset_53"
"2143","Pothos longipes",109,"AUSTRAITS_dataset_52"
"2149","Pouteria queenslandica",150.796,"AUSTRAITS_dataset_49"
"2162","Psychotria daphnoides",18.413,"AUSTRAITS_dataset_53"
"2176","Psychotria loniceroides",11.994,"AUSTRAITS_dataset_10"
"2188","Psychotria loniceroides",8.147,"AUSTRAITS_dataset_53"
"2189","Psychotria loniceroides",8.14,"Gallagher_field_workPHD"
"2215","Rhodamnia argentea",16.978,"AUSTRAITS_dataset_53"
"2227","Rhodamnia rubescens",3.798,"AUSTRAITS_dataset_53"
"2238","Rhodomyrtus psidioides",5.883,"AUSTRAITS_dataset_53"
