Taxon,flowering.duration,leaf.area,maximum.height,seed.mass,SLA,wood.density
Macfadyena.unguiscati,4,14,20,29,16.109,NA
Maclura.cochinchinensis,NA,8.60825,15,11.167,18.42224673,NA
Mallotus.claoxyloides,6,32.21625,8,62.86036375,17.06017648,NA
Mallotus.discolor,NA,15.5475,30,NA,NA,0.60675
Mallotus.philippensis,11,42.04190476,25,22.75025911,19.12979351,0.603333333
Marsdenia.rostrata,6,38.65233333,1.8,77.35,23.69965666,NA
Medicosma.cunninghamii,12,25.5415,10,NA,NA,NA
Melaleuca.bracteata,3,0.299,15,0.057017027,NA,0.87
Melaleuca.quinquenervia,7,7.508,35,0.200263476,7.962321972,0.670125036
Melaleuca.spp,3,0.299,15,0.057017027,NA,0.87
Melia.azedarach,4,6.3,45,321.3758325,NA,0.387666667
Melodinus.australis,6,48.79575,NA,65,NA,NA
Melodorum.leichhardtii,5,29.9825,NA,124.16,NA,NA
Micromelum.minutum,12,28.1105,10,22,NA,NA
Mischarytera.lautereriana,NA,21.175,30,NA,NA,0.5935
Mischocarpus.australis,NA,17.85,35,NA,NA,0.6493
Mischocarpus.pyriformis,NA,37.90657143,30,187.2,8.786000605,0.6
Morinda.jasminoides,7,9.538090909,20,7.248333333,26.0434634,NA
Myrsine.variabilis,5,14.45214286,10,28.404,11.69247939,0.75917
Nandina.spp,NA,11.8,2,19.2,NA,NA
Neolitsea.dealbata,3,59.3437549,20,146.0075,12.74945021,0.499757143
Notelaea.longifolia,7,34.93409091,9,97.8275,9.648457335,0.83987
Notelaea.microcarpa,7,10.5876,10,43.521,6.615,0.638719277
Ochna.serrulata,6,6.7976,3,83.76,20.19766667,NA
Olea.paniculata,3,30.015,30,82.5,15.1194436,0.760333333
Pandorea.pandorana,7,10.1108,1.6,3.9844375,27.01734496,0.4477
Pararchidendron.pruinosum,4,12.47666667,20,56,24.60629921,0.5125
Parsonsia.straminea,5,41.86672727,17,8.848,22.37626912,NA
Passiflora.edulis,5,130.67,5,13.481,21.6,NA
Passiflora.suberosa,8,NA,NA,3.476,NA,NA
Passiflora.subpeltata,6,NA,NA,69,NA,NA
Pavetta.australiensis,3,47.775,7,219,NA,NA
Phyllanthus.microcladus,3,0.147,1,NA,NA,NA
Pilidiostigma.rhytispermum,NA,1.89,10,55.8125393,NA,NA
Piper.hederaceum,NA,51.476,NA,NA,NA,NA
Pittosporum.multiflorum,6,0.268,4.2,11.071,NA,NA
Pittosporum.undulatum,4,28.9654,25,9.342539041,11.1524932,0.6446
Planchonella.australis,4,29.4,40,670.4572629,NA,0.7568
Pleurostylia.opposita,NA,10.5,15,NA,NA,NA
Polyscias.elegans,5,29.274125,30,6.840260938,13.73551125,0.36075
Pothos.longipes,2,4.2,NA,109,12.0048,NA
Pouteria.queenslandica,NA,31.55,40,150.796,NA,NA
Pseudoweinmannia.lachnocarpa,3,16.678,35.2,NA,NA,0.744666667
Psychotria.daphnoides,3,1.26,2,18.413,NA,NA
Psychotria.loniceroides,3,20.94175,5,9.589085781,14.66992496,0.69
Psychotria.spp...shute.harbour.,NA,18.9,5,NA,NA,NA
Psydrax.odorata,NA,14.7,15,NA,NA,0.825
Pteridium.esculentum,NA,12.73466667,1.8,NA,10.17097129,NA
Rhodamnia.argentea,4,24.684,40,16.978,NA,0.705366667
Rhodamnia.rubescens,4,16.72766667,30,3.798,10.993,0.6414
Rhodomyrtus.psidioides,2,31.845,20,4.1765,13.12388208,0.7783
Rhodosphaera.rhodanthema,3,7.963,27,448.871,NA,0.5895
Ricinus.communis,3,NA,3.5,295.6,47.11,NA
Ripogonum.spp,5,37.2,15,1.89,11.94,NA
Rubus.moluccanus,6,45.15766667,NA,0.85,13.84331023,NA
Rubus.rosifolius,12,3.19675,1,0.524784111,23.95933333,NA
Sarcopteryx.stipata,4,12.066,40,37.19,9.169264625,0.83875
Schefflera.actinophylla,5,117.469,24,7.879037868,NA,0.4065
Schoenoplectus.validus,6,97.5,2,0.91,NA,NA
Senna.pendula,12,3.06,3,18.5,NA,NA
