site,clim_pdry,clim_psea,clim_pwet,clim_tcld,clim_tsea,clim_twrm,soil_der,soil_nto,soil_phc,soil_pto,soil_soc,CV.x,MDFMDFWet.x,MDFMDFDry.x,CVMDFWet.x,CVMDFDry.x,HSPeak.x,HSMeanDur.x,CVAnnHSPeak.x,CVAnnHSMeanDur.x,LSPeak.x,LSMeanDur.x,CVAnnLSPeak.x,CVAnnLSMeanDur.x,BFI.x,CVAnnBFI.x,C_MinM.x,M_MinM.x,C_MaxM.x,M_MaxM.x,regulation,FDis,FDiv,FRic,FEve,nbsp,richness,exotics,SLA,seed.mass,maximum.height,flowering.duration,wood.density,leaf.area,CV.y,MDFMDFWet.y,MDFMDFDry.y,CVMDFWet.y,CVMDFDry.y,HSPeak.y,HSMeanDur.y,CVAnnHSPeak.y,CVAnnHSMeanDur.y,LSPeak.y,LSMeanDur.y,CVAnnLSPeak.y,CVAnnLSMeanDur.y,BFI.y,CVAnnBFI.y,C_MinM.y,M_MinM.y,C_MaxM.y,M_MaxM.y,production_natural_w,production_dryland_w,intensive_w,conservation_w,production_irrigated_w,replicate,richness.stand,FRic.SES,FDis.SES,MDFAnnHSNum.x,CVAnnHSNum.x,MDFAnnLSNum.x,CVAnnLSNum.x,MDFAnnHSNum.y,CVAnnHSNum.y,MDFAnnLSNum.y,CVAnnLSNum.y
34,109.610878,46.89871979,376.1097107,15.45924377,414.7208557,25.75291061,5.616991997,0.146004155,5.318706989,0.04654979,2.291818619,7.339,1.353007735,0.603340634,1.219,2.231,44.89518588,4.419,0.811,0.425,0.058321024,40.891,0.519,0.516,0.1,0.632,0.08,0.091,0.497,0.045,0.055746011,0.187418372,0.873919993,0.081264888,0.539856283,22,0.031085906,0.079956966,1.222486881,1.817391899,4.580138795,2.153827378,0.61680934,3.781384846,0,0.003038297,-0.009789431,-0.040496408,0.040606389,-0.040033765,0.021090047,0.223853211,0.263157895,0.061663209,-0.045441424,-0.180987203,0.031809145,0.03960396,-0.063467492,0.033898305,-0.11023622,-0.002040816,0.040816327,0.79,0,0.02,0.18,0,2,0.027725268,0.579439877,0.128936615,2.242,0.829,7.606,0.325,0.054277829,-0.104689204,0.030756887,-0.038338658
35,173.1053314,45.97392654,592.9439087,15.65501595,364.0437317,24.71052933,5.382903576,0.178362012,4.592539787,0.04280049,3.442286491,5.573,1.271408803,0.762396875,0.811,0.928,32.52428579,3.064,0.641,0.245,0.078646372,19.354,0.35,0.374,0.137,0.345,0.02,0.103,0.392,0.063,0.073307437,0.196020572,0.800227007,0.060642136,0.544827865,34,0.129429892,0.227048778,1.183166044,1.57429954,3.594950067,2.273014237,0.558064368,7.186989274,0.060744986,0.014264258,-0.054020304,0.032663317,-0.018808777,0.075979809,-0.007608336,-0.310933941,-0.359735974,-0.053249944,0.062689482,0.133333333,-0.115044248,-0.044117647,-0.048543689,-0.558139535,-0.038167939,0.137362637,-0.055555556,0.41,0.11,0.38,0.1,0,1,0.117103236,-0.414650002,0.328894974,3.615,0.686,12.538,0.301,-0.031364349,-0.019525802,-0.048298834,0.112554113
36,174.6337128,45.53351593,594.2196655,15.62129784,365.2148743,24.70670891,14.67020321,0.20398964,4.710796833,0.035720848,3.259968758,5.573,1.271408803,0.762396875,0.811,0.928,32.52428579,3.064,0.641,0.245,0.078646372,19.354,0.35,0.374,0.137,0.345,0.02,0.103,0.392,0.063,0.073307437,0.192581991,0.851664553,0.008701511,0.61264699,25,0.107728337,0.063080988,1.178608463,2.027795057,4.798898504,2.281600758,0.553568709,6.181078506,0.060744986,0.014264258,-0.054020304,0.032663317,-0.018808777,0.075979809,-0.007608336,-0.310933941,-0.359735974,-0.053249944,0.062689482,0.133333333,-0.115044248,-0.044117647,-0.048543689,-0.558139535,-0.038167939,0.137362637,-0.055555556,0.34,0.25,0.14,0.21,0.05,2,0.06557377,-0.463238395,0.444347548,3.615,0.686,12.538,0.301,-0.031364349,-0.019525802,-0.048298834,0.112554113
37,104.5128937,45.75644302,359.5658875,15.88125324,406.1400757,25.96599197,8.671669006,0.179275975,4.934397697,0.042755529,2.652782917,5.878,1.333501045,0.756948308,1.272,1.633,27.27722454,4.533,0.825,0.438,0.086182581,35.074,0.431,0.604,0.196,0.405,0.029,0.086,0.26,0.068,0.084167315,0.219690037,0.866467277,0.01607762,0.623338988,21,0.043161272,0.152918477,1.187575566,1.321330323,3.434230571,2.501087667,0.582102595,5.927660702,0.174616006,0.013677776,-0.058264771,0.164545455,0.125088339,0.145002897,-0.017198461,-0.142207053,0.218934911,-0.132465291,0.679349186,0.33463035,0.205811138,-0.180672269,0.154302671,-0.513157895,-0.218978102,0.020325203,0.150684932,0.61,0.03,0.15,0.15,0.03,1,0.038495188,-0.212214304,1.262436242,2.727,0.881,6.909,0.454,0.035608309,0.001089325,-0.231584526,0.137362637
38,103.131218,45.77086258,355.3100891,15.77677727,407.9249268,25.90482712,6.043702602,0.159985557,5.336770535,0.04734074,2.356807947,5.878,1.333501045,0.756948308,1.272,1.633,27.27722454,4.533,0.825,0.438,0.086182581,35.074,0.431,0.604,0.196,0.405,0.029,0.086,0.26,0.068,0.084167315,0.184073502,0.853967365,0.002271863,0.590742316,14,0.015802469,0.352450279,1.103565893,0.898047945,3.928687871,2.29815933,0.64653227,3.355543417,0.174616006,0.013677776,-0.058264771,0.164545455,0.125088339,0.145002897,-0.017198461,-0.142207053,0.218934911,-0.132465291,0.679349186,0.33463035,0.205811138,-0.180672269,0.154302671,-0.513157895,-0.218978102,0.020325203,0.150684932,0.61,0.03,0.16,0.15,0.03,2,0.014814815,-0.101940296,0.415433445,2.727,0.881,6.909,0.454,0.035608309,0.001089325,-0.231584526,0.137362637
39,122.7455292,43.39176559,393.5278625,16.15975952,384.5278015,25.71652603,11.04504585,0.097677544,4.680103779,0.027188832,2.997516155,6.013,1.241722097,0.831979773,1.49,1.394,29.48135773,4.697,0.898,0.332,0.084566581,41.458,0.468,0.615,0.16,0.49,0.016,0.083,0.307,0.076,0.098901964,0.222368818,0.868655889,0.061776217,0.593194371,31,0.20681458,0.002750388,1.187498347,1.278665956,2.982203539,2.429800262,0.581080591,6.336074668,0.265231432,0.153764931,-0.130146278,0.052597403,0.011396011,0.120798032,-0.144854972,0.903225806,-0.025568182,-0.157201683,0.138024569,0.158774373,-0.038863976,-0.181818182,0.086092715,-0.553191489,0.17699115,0.230452675,0.333333333,0.15,0.53,0.04,0.26,0.01,1,0.110935024,-0.236909967,1.330343203,2.444,0.979,6.481,0.465,0.144705319,-0.164871582,-0.058556514,0.101333333
40,122.7991409,43.42730713,393.9874573,16.1499939,384.3728027,25.70302582,10.38372803,0.126680046,4.689802647,0.035884593,3.012557745,6.013,1.241722097,0.831979773,1.49,1.394,29.48135773,4.697,0.898,0.332,0.084566581,41.458,0.468,0.615,0.16,0.49,0.016,0.083,0.307,0.076,0.098901964,0.172425511,0.932475524,0.095083683,0.650664026,24,0.150242326,0.001699934,0.900125598,1.14956685,2.077388357,2.184681534,0.630247304,6.176123412,0.265231432,0.153764931,-0.130146278,0.052597403,0.011396011,0.120798032,-0.144854972,0.903225806,-0.025568182,-0.157201683,0.138024569,0.158774373,-0.038863976,-0.181818182,0.086092715,-0.553191489,0.17699115,0.230452675,0.333333333,0.19,0.49,0.03,0.27,0.01,2,0.106623586,0.429059981,0.632030794,2.444,0.979,6.481,0.465,0.144705319,-0.164871582,-0.058556514,0.101333333
41,89.97753143,47.44617462,320.8670654,13.27583218,441.4157715,24.24716377,11.97836494,0.228967041,5.545087337,0.096713394,3.331651211,5.327,1.052404972,0.712035739,0.769,1.544,39.93140504,4.299,0.763,0.502,0.111685631,11.553,0.289,0.51,0.249,0.485,0.153,0.09,0.267,0.035,0.108089453,0.233297772,0.893655658,0.037777968,0.592346097,17,0.072186837,0.109023019,1.121702733,0.685173323,2.866152799,2.673234512,0.589144649,5.831501845,0.016530655,0.006066306,0.012554986,-0.216444132,0.033539276,0.223660109,0.230878187,0.135215453,0.332417582,0.776187452,0.828875508,-0.651162791,-0.295454545,0.172093023,0.419047619,-0.138613861,-0.010752688,-0.28436019,-0.018518519,0.57,0,0.04,0.36,0.02,1,0.063694268,0.300101447,1.613215477,2.333,0.965,14.394,0.367,-0.135746606,-0.140641158,-0.44859216,0.268707483
42,90.59474945,47.30292511,324.0668945,13.23464298,441.9187012,24.219244,5.615754128,0.177977636,5.608204365,0.065834992,2.759526014,5.327,1.052404972,0.712035739,0.769,1.544,39.93140504,4.299,0.763,0.502,0.111685631,11.553,0.289,0.51,0.249,0.485,0.153,0.09,0.267,0.035,0.108089453,0.177557923,0.818046924,0.009898137,0.682531685,14,0.061131387,0.187435598,1.170831313,2.633945476,4.664313273,2.102608175,0.608500008,5.543167591,0.016530655,0.006066306,0.012554986,-0.216444132,0.033539276,0.223660109,0.230878187,0.135215453,0.332417582,0.776187452,0.828875508,-0.651162791,-0.295454545,0.172093023,0.419047619,-0.138613861,-0.010752688,-0.28436019,-0.018518519,0.58,0,0.02,0.36,0.04,2,0.058394161,0.142796593,0.907262564,2.333,0.965,14.394,0.367,-0.135746606,-0.140641158,-0.44859216,0.268707483
43,89.25119019,46.68381882,322.0532837,13.95260429,431.8603516,24.68051529,6.886637688,0.164609596,5.712595463,0.063174807,2.53485775,8.92,1.040013639,0.742698832,1.283,2.063,55.51873668,3.768,0.935,0.327,0.068050465,43.014,0.655,1.127,0.107,0.693,0.113,0.09,0.486,0.04,0.087980781,0.213120593,0.949847143,0.012841214,0.588068321,15,0.042267051,0.287683267,1.149747277,1.105009061,2.907324314,2.099502163,0.629873311,5.061021874,0.663592622,-0.001580966,0.025056676,0.158484065,0.270935961,0.642468257,0.016480447,0.413416537,-0.007246377,-0.299874668,1.220428954,0.753462604,0.200413223,-0.476190476,0.553475936,-0.367816092,0.075471698,0.608856089,-0.174603175,0.87,0,0.02,0.07,0.03,1,0.038424592,0.202357954,0.949091442,2.485,0.83,7.121,0.42,-0.114285714,-0.011947431,-0.336530403,0.189873418
44,90.1111908,47.3900795,330.3085022,13.77093887,433.0838318,24.53026199,1.862619042,0.208528861,5.301919937,0.059132177,3.008567333,8.92,1.040013639,0.742698832,1.283,2.063,55.51873668,3.768,0.935,0.327,0.068050465,43.014,0.655,1.127,0.107,0.693,0.113,0.09,0.486,0.04,0.087980781,0.214656248,0.889094136,0.003644875,0.592101695,13,0.029212532,0.417827471,1.15264104,0.924536763,3.222077308,2.160076091,0.648954361,3.670069476,0.663592622,-0.001580966,0.025056676,0.158484065,0.270935961,0.642468257,0.016480447,0.413416537,-0.007246377,-0.299874668,1.220428954,0.753462604,0.200413223,-0.476190476,0.553475936,-0.367816092,0.075471698,0.608856089,-0.174603175,0.87,0,0.02,0.07,0.03,2,0.025402202,-0.190560086,1.012442839,2.485,0.83,7.121,0.42,-0.114285714,-0.011947431,-0.336530403,0.189873418
